Strike($),Payoff($)
0.0,0.0
0.25,-4625000.0
0.5,-9250000.0
0.75,-18500000.0
1.0,-14800000.0
1.25,-13320000.0
1.5,-11988000.0
1.75,-10789200.0
2.0,-10000000.0
2.25,-11250000.0
2.5,-12500000.0
2.75,-13750000.0
3.0,-15000000.0
3.25,-16250000.0
3.5,-17500000.0
3.75,-18750000.0
4.0,-20000000.0
4.25,-21250000.0
4.5,-22500000.0
4.75,-23750000.0
5.0,-25000000.0
