Strike($),Payoff($)
0,-5000000
200,-5000000
400,-5000000
600,-5000000
800,-7000000
1000,-9000000
1200,-11000000
1400,-13000000
1600,-15000000
1800,-17000000
2000,-19000000
2200,-17000000
2400,-15000000
2600,-13000000
2800,-11000000
3000,-10000000
3200,-10000000
3400,-10000000
3600,-10000000
3800,-10000000
4000,-10000000
4200,-10000000
4400,-10000000
4600,-10000000
4800,-10000000
5000,-10000000
