Strike($),Payoff($)
$0.00 ,$0 
$0.25 ,"($1,250,000)"
$0.50 ,"($2,500,000)"
$0.75 ,"($3,750,000)"
$1.00 ,"($5,000,000)"
$1.25 ,"($6,250,000)"
$1.50 ,"($7,500,000)"
$1.75 ,"($8,750,000)"
$2.00 ,"($10,000,000)"
$2.25 ,"($11,250,000)"
$2.50 ,"($12,500,000)"
$2.75 ,"($13,750,000)"
$3.00 ,"($15,000,000)"
$3.25 ,"($16,250,000)"
$3.50 ,"($17,500,000)"
$3.75 ,"($18,750,000)"
$4.00 ,"($20,000,000)"
$4.25 ,"($21,250,000)"
$4.50 ,"($22,500,000)"
$4.75 ,"($23,750,000)"
$5.00 ,"($25,000,000)"
